"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","GO:0002181","cytoplasmic translation",166,0.539176374177053,1.62030324571363,0.00039189528507065,0.00560697887218054,0.00417157487174432,6212,"tags=50%, list=23%, signal=38%","5317/6204/24140/10322/8662/6173/8894/6218/10642/26986/1968/16/200916/7884/10480/56339/6187/6136/6227/22916/8667/5315/3192/6154/10492/1973/6209/1936/28985/6223/1660/6132/3184/6156/6137/3646/220717/6167/6141/6158/6191/8668/55854/25873/8664/6129/6188/8666/10399/8891/6130/11224/51121/6193/6169/8562/7311/6165/6175/6210/6159/6168/6147/9045/6139/79727/6217/8893/6134/8669/9349/8890/10605/8531/255308/6222/6142/6181/4733/6160/8663/6124/6161"
"GO:0006383","GO:0006383","transcription by RNA polymerase III",66,0.651812004204708,1.7517568057599,0.000396171372996037,0.00565518769965511,0.00420744208970138,2148,"tags=23%, list=8%, signal=21%","3624/84172/9533/2971/9188/84524/25885/51082/10514/10622/6621/10623/11128/51728/9330"
"GO:0051897","GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",184,-0.465831805117945,-1.51457231166968,0.000397510916812458,0.00566135410747971,0.00421202987797675,3474,"tags=30%, list=13%, signal=26%","388581/3643/5795/3606/7409/219699/6352/1236/4058/3479/10855/4916/558/1436/5156/2260/3059/2247/1646/57142/2322/6363/1956/6934/6366/3815/998/284/1524/4653/930/9723/4921/7010/1634/2852/5294/23551/5649/85453/847/5467/10979/80310/79899/83667/64805/2185/5025/57462/9378/2150/65018/55273/2651"
"GO:0040029","GO:0040029","epigenetic regulation of gene expression",285,0.487390806000304,1.54074048457463,0.000402675392689617,0.0057218430514757,0.00425703346449712,3729,"tags=24%, list=14%, signal=21%","285051/4609/1017/2146/29128/5987/10322/7490/29028/25879/79723/1111/22880/9271/3481/672/3070/90853/6839/83933/92815/11335/84823/23028/1786/3066/11091/26147/51504/9025/57673/56339/10919/10155/85235/9555/58487/26155/4613/8356/10419/3014/51132/6602/8332/55869/8354/3192/3015/6597/9112/8358/400629/8091/54069/26013/63925/8335/4221/9869/124512/6944/317772/328/434/55617/11146/4001/54496"
"GO:0140029","GO:0140029","exocytic process",90,-0.570906703927535,-1.6837738317202,0.000405069958557158,0.00574278727608989,0.00427261590258016,4644,"tags=43%, list=18%, signal=36%","23265/10497/112476/127833/9341/6814/134957/8773/9900/8676/6861/4218/415117/401258/6571/9783/6860/23208/143425/8723/6616/6622/8673/10490/8867/6855/22895/695/127262/5899/54843/23233/22871/9342/5023/2901/5663/3745/2775"
"GO:0030100","GO:0030100","regulation of endocytosis",297,-0.417529123968041,-1.42275418687562,0.000410932482820565,0.00581269121957978,0.00432462421949128,3594,"tags=25%, list=14%, signal=22%","967/54550/3643/929/5795/5806/26119/3084/2042/57118/60682/55589/2219/5199/1794/6441/51479/558/257364/3071/160622/6860/23208/284654/23345/9863/382/6363/6622/5071/3208/3690/146395/6366/51429/998/284/29993/9892/29904/50632/7275/695/5532/11037/114781/567/25/55333/933/8650/3958/22871/26228/5869/5322/948/1191/5336/25999/408/857/8976/57126/2150/23327/1902/88455/6609/5873/57030/4638/11252/55198"
"GO:0048266","GO:0048266","behavioral response to pain",20,-0.823684115821298,-1.86270021377837,0.000413856860304079,0.00583418444911465,0.0043406151155307,3193,"tags=55%, list=12%, signal=48%","4185/7060/6869/2890/6328/22953/5025/824/644139/11280/6335"
"GO:0086064","GO:0086064","cell communication by electrical coupling involved in cardiac conduction",24,-0.776014278306735,-1.81224489535684,0.000414322492939691,0.00583418444911465,0.0043406151155307,2263,"tags=54%, list=9%, signal=50%","3270/805/10052/5318/5566/5144/817/6546/857/482/6717/477/801"
"GO:0071389","GO:0071389","cellular response to mineralocorticoid stimulus",12,-0.884591842019343,-1.81027001583337,0.000416903734125588,0.00584955381768019,0.00435204987802298,1329,"tags=50%, list=5%, signal=48%","6337/2852/6340/266743/6338/6446"
"GO:0010043","GO:0010043","response to zinc ion",49,-0.660164238956193,-1.78978276963206,0.00041765782104138,0.00584955381768019,0.00435204987802298,2520,"tags=35%, list=10%, signal=31%","169026/6833/26149/4520/7782/4501/84329/4493/3777/210/4502/5025/4496/4495/4499/55532/4494"
