"","ID","Pathway_Size","CoExp_Pairs","pvalue","padj","TERM","Description"
"1","GO:0000139",529,6802,0,0,"Golgi membrane","Golgi membrane"
"2","GO:0000786",76,656,0,0,"nucleosome","nucleosome"
"3","GO:0002181",77,1683,0,0,"cytoplasmic translation","cytoplasmic translation"
"4","GO:0002250",308,8631,0,0,"adaptive immune response","adaptive immune response"
"5","GO:0003677",694,11774,0,0,"DNA binding","DNA binding"
"6","GO:0003723",1050,44231,0,0,"RNA binding","RNA binding"
"7","GO:0003735",126,3076,0,0,"structural constituent of ribosome","structural constituent of ribosome"
"8","GO:0003823",99,3293,0,0,"antigen binding","antigen binding"
"9","GO:0004888",113,930,0,0,"transmembrane signaling receptor activity","transmembrane signaling receptor activity"
"10","GO:0005201",90,929,0,0,"extracellular matrix structural constituent","extracellular matrix structural constituent"
"11","GO:0005515",9985,1685102,0,0,"protein binding","protein binding"
"12","GO:0005524",1116,26698,0,0,"ATP binding","ATP binding"
"13","GO:0005634",4012,346527,0,0,"nucleus","nucleus"
"14","GO:0005654",2946,237153,0,0,"nucleoplasm","nucleoplasm"
"15","GO:0005730",799,19488,0,0,"nucleolus","nucleolus"
"16","GO:0005737",3776,258055,0,0,"cytoplasm","cytoplasm"
"17","GO:0005739",1232,42682,0,0,"mitochondrion","mitochondrion"
"18","GO:0005743",367,7317,0,0,"mitochondrial inner membrane","mitochondrial inner membrane"
"19","GO:0005759",333,4037,0,0,"mitochondrial matrix","mitochondrial matrix"
"20","GO:0005783",822,12929,0,0,"endoplasmic reticulum","endoplasmic reticulum"
"21","GO:0005789",831,13006,0,0,"endoplasmic reticulum membrane","endoplasmic reticulum membrane"
"22","GO:0005794",771,13801,0,0,"Golgi apparatus","Golgi apparatus"
"23","GO:0005813",493,8705,0,0,"centrosome","centrosome"
"24","GO:0005829",4016,353401,0,0,"cytosol","cytosol"
"25","GO:0005886",3701,196972,0,0,"plasma membrane","plasma membrane"
"26","GO:0005925",335,3752,0,0,"focal adhesion","focal adhesion"
"27","GO:0006281",186,1522,0,0,"DNA repair","DNA repair"
"28","GO:0006338",673,11333,0,0,"chromatin remodeling","chromatin remodeling"
"29","GO:0006364",106,823,0,0,"rRNA processing","rRNA processing"
"30","GO:0006396",175,3596,0,0,"RNA processing","RNA processing"
"31","GO:0006412",138,2715,0,0,"translation","translation"
"32","GO:0006886",185,1739,0,0,"intracellular protein transport","intracellular protein transport"
"33","GO:0006954",298,3212,0,0,"inflammatory response","inflammatory response"
"34","GO:0006955",368,10071,0,0,"immune response","immune response"
"35","GO:0007155",363,5051,0,0,"cell adhesion","cell adhesion"
"36","GO:0007166",230,2243,0,0,"cell surface receptor signaling pathway","cell surface receptor signaling pathway"
"37","GO:0009897",302,3980,0,0,"external side of plasma membrane","external side of plasma membrane"
"38","GO:0016020",2387,102112,0,0,"membrane","membrane"
"39","GO:0016064",69,1271,0,0,"immunoglobulin mediated immune response","immunoglobulin mediated immune response"
"40","GO:0016567",283,2710,0,0,"protein ubiquitination","protein ubiquitination"
"41","GO:0016607",302,2798,0,0,"nuclear speck","nuclear speck"
"42","GO:0016887",315,3167,0,0,"ATP hydrolysis activity","ATP hydrolysis activity"
"43","GO:0019814",127,5350,0,0,"immunoglobulin complex","immunoglobulin complex"
"44","GO:0022625",46,563,0,0,"cytosolic large ribosomal subunit","cytosolic large ribosomal subunit"
"45","GO:0022626",79,1473,0,0,"cytosolic ribosome","cytosolic ribosome"
"46","GO:0030527",54,624,0,0,"structural constituent of chromatin","structural constituent of chromatin"
"47","GO:0031012",159,1406,0,0,"extracellular matrix","extracellular matrix"
"48","GO:0032543",65,557,0,0,"mitochondrial translation","mitochondrial translation"
"49","GO:0042101",94,700,0,0,"T cell receptor complex","T cell receptor complex"
"50","GO:0042802",1294,27213,0,0,"identical protein binding","identical protein binding"
"51","GO:0046872",1691,57114,0,0,"metal ion binding","metal ion binding"
"52","GO:0051301",289,3944,0,0,"cell division","cell division"
"53","GO:0062023",290,5052,0,0,"collagen-containing extracellular matrix","collagen-containing extracellular matrix"
"54","GO:0070062",1602,42839,0,0,"extracellular exosome","extracellular exosome"
"55","GO:0006974",236,1904,1.38015261903169e-318,1.59746393489544e-316,"DNA damage response","DNA damage response"
"56","GO:0006355",394,3792,1.83350965703792e-305,2.08430758512561e-303,"regulation of DNA-templated transcription","regulation of DNA-templated transcription"
"57","GO:0022627",34,292,5.48023894157049e-303,6.12056159684873e-301,"cytosolic small ribosomal subunit","cytosolic small ribosomal subunit"
"58","GO:0000776",126,892,8.58497911820835e-297,9.42275466664041e-295,"kinetochore","kinetochore"
"59","GO:0005178",125,863,6.84067287708169e-282,7.38097009076306e-280,"integrin binding","integrin binding"
"60","GO:0005762",41,317,1.16426489168067e-276,1.23528505007319e-274,"mitochondrial large ribosomal subunit","mitochondrial large ribosomal subunit"
"61","GO:0001525",193,1403,4.11813521224436e-276,4.29771291166354e-274,"angiogenesis","angiogenesis"
"62","GO:0015031",265,2098,1.39003587095625e-272,1.42725296040443e-270,"protein transport","protein transport"
"63","GO:0005576",1458,32683,1.96976964564894e-270,1.99040532765097e-268,"extracellular region","extracellular region"
"64","GO:0043161",213,1569,2.1614064059154e-268,2.14992393438397e-266,"proteasome-mediated ubiquitin-dependent protein catabolic process","proteasome-mediated ubiquitin-dependent protein catabolic process"
"65","GO:0007059",82,549,1.43991165428014e-263,1.41022732171498e-261,"chromosome segregation","chromosome segregation"
"66","GO:0006397",155,1037,9.7843689916194e-250,9.43746863646198e-248,"mRNA processing","mRNA processing"
"67","GO:0031267",209,1479,3.89930616862605e-244,3.70492284619006e-242,"small GTPase binding","small GTPase binding"
"68","GO:0006334",75,475,4.15847887770031e-235,3.8930700787412e-233,"nucleosome assembly","nucleosome assembly"
"69","GO:0030199",47,316,6.20212438524893e-232,5.72213388934705e-230,"collagen fibril organization","collagen fibril organization"
"70","GO:0000398",131,822,2.36526380375648e-227,2.15103848210196e-225,"mRNA splicing, via spliceosome","mRNA splicing, via spliceosome"
"71","GO:0098978",444,4209,3.57874355102001e-224,3.20877203461879e-222,"glutamatergic synapse","glutamatergic synapse"
"72","GO:0042274",64,396,3.30431200968735e-219,2.9215625352319e-217,"ribosomal small subunit biogenesis","ribosomal small subunit biogenesis"
"73","GO:0004674",255,1848,1.19897441921691e-216,1.0455713907856e-214,"protein serine/threonine kinase activity","protein serine/threonine kinase activity"
"74","GO:0048471",517,5310,3.59733079960924e-215,3.09467673923141e-213,"perinuclear region of cytoplasm","perinuclear region of cytoplasm"
"75","GO:0000781",130,792,2.91290821133445e-213,2.47247648978068e-211,"chromosome, telomeric region","chromosome, telomeric region"
"76","GO:0005814",115,689,2.65142171129001e-211,2.22091455448319e-209,"centriole","centriole"
"77","GO:0042776",44,283,4.79693620390957e-211,3.96588258105043e-209,"proton motive force-driven mitochondrial ATP synthesis","proton motive force-driven mitochondrial ATP synthesis"
"78","GO:0140588",126,752,2.16224873451355e-205,1.76472762101452e-203,"chromatin looping","chromatin looping"
"79","GO:0003689",125,744,1.41949397119772e-204,1.14386058489173e-202,"DNA clamp loader activity","DNA clamp loader activity"
"80","GO:0032040",66,390,3.52969151462802e-203,2.80875202276525e-201,"small-subunit processome","small-subunit processome"
"81","GO:0030198",126,748,5.9126127553016e-203,4.64687565435185e-201,"extracellular matrix organization","extracellular matrix organization"
"82","GO:0106310",274,1987,5.75924448054091e-198,4.47114028818578e-196,"protein serine kinase activity","protein serine kinase activity"
"83","GO:0050853",49,295,1.19126282738174e-195,9.13684236037611e-194,"B cell receptor signaling pathway","B cell receptor signaling pathway"
"84","GO:0038023",138,810,6.96424373671141e-192,5.27790186046486e-190,"signaling receptor activity","signaling receptor activity"
"85","GO:0061775",117,652,9.87581564139483e-180,7.14425481512721e-178,"cohesin loader activity","cohesin loader activity"
"86","GO:0140584",117,652,9.87581564139483e-180,7.14425481512721e-178,"chromatin extrusion motor activity","chromatin extrusion motor activity"
"87","GO:0140665",117,652,9.87581564139483e-180,7.14425481512721e-178,"ATP-dependent H3-H4 histone complex chaperone activity","ATP-dependent H3-H4 histone complex chaperone activity"
"88","GO:0140849",117,652,9.87581564139483e-180,7.14425481512721e-178,"ATP-dependent H2AZ histone chaperone activity","ATP-dependent H2AZ histone chaperone activity"
"89","GO:0006468",207,1309,5.09298299322503e-179,3.64291345335624e-177,"protein phosphorylation","protein phosphorylation"
"90","GO:0043231",628,7079,1.1825330289509e-178,8.36445029144606e-177,"intracellular membrane-bounded organelle","intracellular membrane-bounded organelle"
"91","GO:0042110",49,279,4.10189415524518e-178,2.86952287827372e-176,"T cell activation","T cell activation"
"92","GO:0030496",149,854,7.40715836518023e-175,5.12543153834102e-173,"midbody","midbody"
"93","GO:0005765",271,1881,4.02176046139679e-173,2.75295990293032e-171,"lysosomal membrane","lysosomal membrane"
"94","GO:0009986",482,4542,1.13517964416967e-172,7.68782299445119e-171,"cell surface","cell surface"
"95","GO:0004842",157,883,1.39040084791209e-161,9.31714926085093e-160,"ubiquitin-protein transferase activity","ubiquitin-protein transferase activity"
"96","GO:0005525",284,1956,5.6813533525659e-156,3.76744744192026e-154,"GTP binding","GTP binding"
"97","GO:0007165",851,11741,8.48159945672438e-155,5.56637754036159e-153,"signal transduction","signal transduction"
"98","GO:0045296",244,1565,4.95637582548274e-154,3.21962127602277e-152,"cadherin binding","cadherin binding"
"99","GO:0016604",259,1704,6.90391882602163e-154,4.4394290147933e-152,"nuclear body","nuclear body"
"100","GO:0030020",38,203,1.56902816425736e-148,9.98843329366234e-147,"extracellular matrix structural constituent conferring tensile strength","extracellular matrix structural constituent conferring tensile strength"
"101","GO:0008201",133,697,1.70440782108309e-148,1.07428318703118e-146,"heparin binding","heparin binding"
"102","GO:0044877",244,1539,1.79260755562782e-145,1.11879800971831e-143,"protein-containing complex binding","protein-containing complex binding"
"103","GO:0006888",73,357,2.39454990743688e-144,1.47997133114012e-142,"endoplasmic reticulum to Golgi vesicle-mediated transport","endoplasmic reticulum to Golgi vesicle-mediated transport"
"104","GO:0000122",684,7926,9.69957635745938e-143,5.93725991265254e-141,"negative regulation of transcription by RNA polymerase II","negative regulation of transcription by RNA polymerase II"
"105","GO:0005604",69,335,4.56348879802859e-142,2.76677806554762e-140,"basement membrane","basement membrane"
"106","GO:0031965",194,1105,5.41070787970851e-140,3.24948739266268e-138,"nuclear membrane","nuclear membrane"
"107","GO:1990904",125,619,2.95731810771196e-133,1.75946608165367e-131,"ribonucleoprotein complex","ribonucleoprotein complex"
"108","GO:0050821",168,886,1.17475601322801e-128,6.92453405574956e-127,"protein stabilization","protein stabilization"
"109","GO:0032981",46,218,3.79290707029328e-128,2.21519691830156e-126,"mitochondrial respiratory chain complex I assembly","mitochondrial respiratory chain complex I assembly"
"110","GO:0003729",164,857,4.65985541252179e-128,2.69678541419215e-126,"mRNA binding","mRNA binding"
"111","GO:0032991",483,4310,4.56140501727763e-127,2.61602741801706e-125,"protein-containing complex","protein-containing complex"
"112","GO:0030335",197,1085,5.99161487007958e-124,3.40559109490416e-122,"positive regulation of cell migration","positive regulation of cell migration"
"113","GO:0019901",350,2543,1.14873200125714e-123,6.47152913274599e-122,"protein kinase binding","protein kinase binding"
"114","GO:0050852",82,371,7.830524007984e-123,4.37272945919528e-121,"T cell receptor signaling pathway","T cell receptor signaling pathway"
"115","GO:0009060",51,233,1.05140880243329e-122,5.82023342286116e-121,"aerobic respiration","aerobic respiration"
"116","GO:0003682",338,2402,1.93000063741315e-122,1.05917103946311e-120,"chromatin binding","chromatin binding"
"117","GO:0006915",414,3306,2.0276198083112e-119,1.10323313672728e-117,"apoptotic process","apoptotic process"
"118","GO:0005096",193,1039,3.22574082732302e-118,1.7402598395541e-116,"GTPase activator activity","GTPase activator activity"
"119","GO:0005694",166,841,7.66290801512383e-116,4.09933381716625e-114,"chromosome","chromosome"
"120","GO:0005635",158,783,7.56257980386876e-114,4.01194858595238e-112,"nuclear envelope","nuclear envelope"
"121","GO:0007160",81,352,4.04958369194891e-113,2.13054956883858e-111,"cell-matrix adhesion","cell-matrix adhesion"
"122","GO:0072562",103,459,1.39368141098649e-112,7.27227529699999e-111,"blood microparticle","blood microparticle"
"123","GO:1902600",119,544,3.20424271124624e-112,1.65839098372306e-110,"proton transmembrane transport","proton transmembrane transport"
"124","GO:0010008",186,966,2.33246830615595e-110,1.19745913201523e-108,"endosome membrane","endosome membrane"
"125","GO:0006935",92,399,1.00507907440267e-109,5.11866671011794e-108,"chemotaxis","chemotaxis"
"126","GO:0006357",1111,18373,1.09738691557134e-108,5.54441674962474e-107,"regulation of transcription by RNA polymerase II","regulation of transcription by RNA polymerase II"
"127","GO:0005518",56,234,1.40047308762963e-105,7.02000919358283e-104,"collagen binding","collagen binding"
"128","GO:0003924",237,1341,2.73444338092198e-103,1.35995832523041e-101,"GTPase activity","GTPase activity"
"129","GO:0004672",147,686,2.2983743293087e-102,1.13422100623094e-100,"protein kinase activity","protein kinase activity"
"130","GO:0051726",174,860,2.87153026559537e-102,1.4061662823677e-100,"regulation of cell cycle","regulation of cell cycle"
"131","GO:0003779",196,1015,3.99309160227185e-102,1.94045962901241e-100,"actin binding","actin binding"
"132","GO:0045944",872,11732,6.17821432365908e-102,2.97958427154649e-100,"positive regulation of transcription by RNA polymerase II","positive regulation of transcription by RNA polymerase II"
"133","GO:0045893",521,4728,6.38935068590072e-102,3.05824108770255e-100,"positive regulation of DNA-templated transcription","positive regulation of DNA-templated transcription"
"134","GO:0005819",107,460,8.37260964917214e-102,3.97761440497237e-100,"spindle","spindle"
"135","GO:0042102",49,199,9.63312965304236e-99,4.54255580527909e-97,"positive regulation of T cell proliferation","positive regulation of T cell proliferation"
"136","GO:0008380",134,599,4.47889114578671e-98,2.09651625250575e-96,"RNA splicing","RNA splicing"
"137","GO:0042605",34,144,5.09987181570772e-98,2.36976525392667e-96,"peptide antigen binding","peptide antigen binding"
"138","GO:0045271",32,137,5.37241290504389e-98,2.47831743141372e-96,"respiratory chain complex I","respiratory chain complex I"
"139","GO:0005840",43,176,5.87337379493789e-98,2.68992068910609e-96,"ribosome","ribosome"
"140","GO:0014069",190,959,6.9649317660772e-98,3.16705397306053e-96,"postsynaptic density","postsynaptic density"
"141","GO:0034451",98,404,1.04553971987311e-95,4.72050060759732e-94,"centriolar satellite","centriolar satellite"
"142","GO:0051897",143,642,5.21010771512078e-94,2.33574265594781e-92,"positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction"
"143","GO:0000278",102,420,8.02197177538277e-94,3.57117988266341e-92,"mitotic cell cycle","mitotic cell cycle"
"144","GO:0005788",242,1346,6.09791873171475e-93,2.69578823931223e-91,"endoplasmic reticulum lumen","endoplasmic reticulum lumen"
"145","GO:0008017",207,1067,1.35166119987417e-92,5.93425875751654e-91,"microtubule binding","microtubule binding"
"146","GO:0045202",336,2238,1.58563037258315e-91,6.91378284374271e-90,"synapse","synapse"
"147","GO:0000502",46,179,1.27729103489633e-90,5.53145219602044e-89,"proteasome complex","proteasome complex"
"148","GO:0140857",184,893,8.17917782984955e-90,3.51815176113664e-88,"histone H3T45 kinase activity","histone H3T45 kinase activity"
"149","GO:0004694",182,877,4.83644649726123e-89,2.06636365111175e-87,"eukaryotic translation initiation factor 2alpha kinase activity","eukaryotic translation initiation factor 2alpha kinase activity"
"150","GO:0071013",68,260,1.03621353636286e-88,4.39769024832399e-87,"catalytic step 2 spliceosome","catalytic step 2 spliceosome"
"151","GO:0032729",57,217,1.32425901319239e-88,5.58293568078327e-87,"positive regulation of type II interferon production","positive regulation of type II interferon production"
"152","GO:0005758",63,240,1.40403754958196e-88,5.88033094778864e-87,"mitochondrial intermembrane space","mitochondrial intermembrane space"
"153","GO:0004679",185,895,3.47831511665403e-88,1.44725189755683e-86,"AMP-activated protein kinase activity","AMP-activated protein kinase activity"
"154","GO:0004676",183,878,4.31024926189826e-87,1.64305669468529e-85,"3-phosphoinositide-dependent protein kinase activity","3-phosphoinositide-dependent protein kinase activity"
"155","GO:0004711",183,878,4.31024926189826e-87,1.64305669468529e-85,"ribosomal protein S6 kinase activity","ribosomal protein S6 kinase activity"
"156","GO:0035175",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H3S10 kinase activity","histone H3S10 kinase activity"
"157","GO:0035979",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H2AXS139 kinase activity","histone H2AXS139 kinase activity"
"158","GO:0044022",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H3S28 kinase activity","histone H3S28 kinase activity"
"159","GO:0044023",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H4S1 kinase activity","histone H4S1 kinase activity"
"160","GO:0044024",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H2AS1 kinase activity","histone H2AS1 kinase activity"
"161","GO:0044025",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H2BS14 kinase activity","histone H2BS14 kinase activity"
"162","GO:0072354",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H3T3 kinase activity","histone H3T3 kinase activity"
"163","GO:0072371",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H2AS121 kinase activity","histone H2AS121 kinase activity"
"164","GO:0072518",183,878,4.31024926189826e-87,1.64305669468529e-85,"Rho-dependent protein serine/threonine kinase activity","Rho-dependent protein serine/threonine kinase activity"
"165","GO:0140823",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H2BS36 kinase activity","histone H2BS36 kinase activity"
"166","GO:0140855",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H3S57 kinase activity","histone H3S57 kinase activity"
"167","GO:1990244",183,878,4.31024926189826e-87,1.64305669468529e-85,"histone H2AT120 kinase activity","histone H2AT120 kinase activity"
"168","GO:0061630",234,1257,1.13980506045942e-86,4.31904703266944e-85,"ubiquitin protein ligase activity","ubiquitin protein ligase activity"
"169","GO:0015026",48,181,4.5344677333673e-86,1.70807228346842e-84,"coreceptor activity","coreceptor activity"
"170","GO:0030036",156,700,5.51273613871137e-86,2.06435754464921e-84,"actin cytoskeleton organization","actin cytoskeleton organization"
"171","GO:0035403",185,888,7.06446780982165e-86,2.62996503376167e-84,"histone H3T6 kinase activity","histone H3T6 kinase activity"
"172","GO:0003714",157,705,1.4745906103562e-85,5.45769989856255e-84,"transcription corepressor activity","transcription corepressor activity"
"173","GO:0035402",185,886,3.19010145127777e-85,1.17388357449909e-83,"histone H3T11 kinase activity","histone H3T11 kinase activity"
"174","GO:0004677",184,878,7.69235788194671e-85,2.81434196991223e-83,"DNA-dependent protein kinase activity","DNA-dependent protein kinase activity"
"175","GO:0016192",139,596,1.3257344213596e-84,4.82264304364299e-83,"vesicle-mediated transport","vesicle-mediated transport"
"176","GO:0007005",77,290,3.47839614722182e-84,1.25815169734171e-82,"mitochondrion organization","mitochondrion organization"
"177","GO:0045766",111,443,6.01452859971803e-83,2.16319147264435e-81,"positive regulation of angiogenesis","positive regulation of angiogenesis"
"178","GO:0032200",18,79,6.51888087235228e-83,2.33141548502217e-81,"telomere organization","telomere organization"
"179","GO:0071735",11,53,3.02421174102968e-82,1.07553809739637e-80,"IgG immunoglobulin complex","IgG immunoglobulin complex"
"180","GO:0003713",195,938,9.5368276142251e-80,3.37285803289761e-78,"transcription coactivator activity","transcription coactivator activity"
"181","GO:0070821",53,191,1.21208249435252e-79,4.26304815417025e-78,"tertiary granule membrane","tertiary granule membrane"
"182","GO:0005085",178,814,4.56142470080276e-77,1.59549613435771e-75,"guanyl-nucleotide exchange factor activity","guanyl-nucleotide exchange factor activity"
"183","GO:0045087",339,2187,2.34492072988737e-75,8.15724883413279e-74,"innate immune response","innate immune response"
"184","GO:0007094",25,95,1.04284800177531e-74,3.60802738005522e-73,"mitotic spindle assembly checkpoint signaling","mitotic spindle assembly checkpoint signaling"
"185","GO:0036064",128,509,1.28759652865041e-73,4.43072405480461e-72,"ciliary basal body","ciliary basal body"
"186","GO:0008137",28,103,1.75846304010456e-73,6.01848156629336e-72,"NADH dehydrogenase (ubiquinone) activity","NADH dehydrogenase (ubiquinone) activity"
"187","GO:0003724",54,186,5.09092834919224e-73,1.73309357598705e-71,"RNA helicase activity","RNA helicase activity"
"188","GO:0000151",81,287,1.92262701501886e-72,6.51034232851598e-71,"ubiquitin ligase complex","ubiquitin ligase complex"
"189","GO:0006120",32,114,2.67599004447637e-72,9.01341408631566e-71,"mitochondrial electron transport, NADH to ubiquinone","mitochondrial electron transport, NADH to ubiquinone"
"190","GO:0007159",25,93,3.25750522601879e-72,1.09143569835977e-70,"leukocyte cell-cell adhesion","leukocyte cell-cell adhesion"
"191","GO:0007030",82,285,5.39974056752935e-69,1.79972504988962e-67,"Golgi organization","Golgi organization"
"192","GO:0030018",108,398,1.22254284644075e-68,4.0534936252301e-67,"Z disc","Z disc"
"193","GO:0070374",149,607,3.69373829671954e-67,1.21835948170552e-65,"positive regulation of ERK1 and ERK2 cascade","positive regulation of ERK1 and ERK2 cascade"
"194","GO:0000775",43,142,8.8483059202035e-67,2.90352141690802e-65,"chromosome, centromeric region","chromosome, centromeric region"
"195","GO:0006260",70,233,7.17680184478634e-66,2.34294977148256e-64,"DNA replication","DNA replication"
"196","GO:0001968",26,90,4.10765958616209e-65,1.33415106762795e-63,"fibronectin binding","fibronectin binding"
"197","GO:0042613",11,46,1.65556519924595e-64,5.34991271999986e-63,"MHC class II protein complex","MHC class II protein complex"
"198","GO:0001725",69,227,1.89133037009852e-64,6.08091370507435e-63,"stress fiber","stress fiber"
"199","GO:0042383",89,305,2.67282338564013e-64,8.55034857938948e-63,"sarcolemma","sarcolemma"
"200","GO:0032760",83,279,1.74756552651496e-63,5.5625010708971e-62,"positive regulation of tumor necrosis factor production","positive regulation of tumor necrosis factor production"
"201","GO:0019886",22,77,7.99625824475972e-63,2.53254626796718e-61,"antigen processing and presentation of exogenous peptide antigen via MHC class II","antigen processing and presentation of exogenous peptide antigen via MHC class II"
"202","GO:0000070",29,96,2.18122282351436e-62,6.87409133390713e-61,"mitotic sister chromatid segregation","mitotic sister chromatid segregation"
"203","GO:0031410",215,1018,2.97054667466477e-62,9.31551730586993e-61,"cytoplasmic vesicle","cytoplasmic vesicle"
"204","GO:0045121",162,665,2.61161524595031e-61,8.14977581162728e-60,"membrane raft","membrane raft"
"205","GO:0042113",31,100,1.03516756342776e-60,3.21457400428347e-59,"B cell activation","B cell activation"
"206","GO:0032436",60,189,1.73634402045469e-60,5.36580875447309e-59,"positive regulation of proteasomal ubiquitin-dependent protein catabolic process","positive regulation of proteasomal ubiquitin-dependent protein catabolic process"
"207","GO:0007186",386,2617,2.62411647279875e-60,8.07010892069413e-59,"G protein-coupled receptor signaling pathway","G protein-coupled receptor signaling pathway"
"208","GO:0035556",300,1716,3.6011155198186e-60,1.1021491057291e-58,"intracellular signal transduction","intracellular signal transduction"
"209","GO:0060090",130,485,4.46710195069625e-60,1.36064933101112e-58,"molecular adaptor activity","molecular adaptor activity"
"210","GO:0033038",13,50,8.03859895534681e-60,2.43684385474942e-58,"bitter taste receptor activity","bitter taste receptor activity"
"211","GO:0000165",90,300,1.09687950400147e-59,3.30935304382624e-58,"MAPK cascade","MAPK cascade"
"212","GO:0000209",108,374,5.07127773396131e-58,1.52281858747159e-56,"protein polyubiquitination","protein polyubiquitination"
"213","GO:0043235",153,602,8.59823056837616e-58,2.56978102339355e-56,"receptor complex","receptor complex"
"214","GO:0005681",86,280,9.27301353253856e-58,2.75850486673554e-56,"spliceosomal complex","spliceosomal complex"
"215","GO:0046540",35,108,1.369250258136e-57,4.05425448525293e-56,"U4/U6 x U5 tri-snRNP complex","U4/U6 x U5 tri-snRNP complex"
"216","GO:0051607",150,584,2.11767012125641e-57,6.24124444070292e-56,"defense response to virus","defense response to virus"
"217","GO:0031625",230,1107,6.83010860948065e-57,2.00370835981354e-55,"ubiquitin protein ligase binding","ubiquitin protein ligase binding"
"218","GO:0010595",49,148,1.10369671522719e-56,3.22299692162215e-55,"positive regulation of endothelial cell migration","positive regulation of endothelial cell migration"
"219","GO:0000978",780,9080,1.38017674465941e-56,4.01196582488668e-55,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"220","GO:0035579",70,216,1.07621564859428e-55,3.1141767358869e-54,"specific granule membrane","specific granule membrane"
"221","GO:0003697",87,277,2.73679518061966e-54,7.88345616281663e-53,"single-stranded DNA binding","single-stranded DNA binding"
"222","GO:0046718",83,260,1.46979427292719e-53,4.21473438804256e-52,"symbiont entry into host cell","symbiont entry into host cell"
"223","GO:0050840",21,67,1.89299049836702e-53,5.40393610430692e-52,"extracellular matrix binding","extracellular matrix binding"
"224","GO:0033116",64,191,3.6815333628616e-53,1.04627863339183e-51,"endoplasmic reticulum-Golgi intermediate compartment membrane","endoplasmic reticulum-Golgi intermediate compartment membrane"
"225","GO:0070098",49,143,5.42165691758618e-53,1.53396746388238e-51,"chemokine-mediated signaling pathway","chemokine-mediated signaling pathway"
"226","GO:0006511",157,609,7.17246556297637e-53,2.02035025548264e-51,"ubiquitin-dependent protein catabolic process","ubiquitin-dependent protein catabolic process"
"227","GO:0050870",26,79,1.22681420935156e-52,3.44048425406696e-51,"positive regulation of T cell activation","positive regulation of T cell activation"
"228","GO:0004843",58,170,2.42814330001861e-52,6.77963168768355e-51,"cysteine-type deubiquitinase activity","cysteine-type deubiquitinase activity"
"229","GO:0000940",19,61,3.43441952883217e-52,9.54738634084962e-51,"outer kinetochore","outer kinetochore"
"230","GO:0019843",32,94,4.57699531356975e-52,1.26683270287761e-50,"rRNA binding","rRNA binding"
"231","GO:0015630",140,513,9.90974975254621e-52,2.73097259414326e-50,"microtubule cytoskeleton","microtubule cytoskeleton"
"232","GO:0015935",10,37,1.37498951818735e-51,3.77292382447441e-50,"small ribosomal subunit","small ribosomal subunit"
"233","GO:0008270",601,5591,2.33148568263822e-51,6.3700591655257e-50,"zinc ion binding","zinc ion binding"
"234","GO:0016525",75,225,8.85984748330691e-51,2.41033286661247e-49,"negative regulation of angiogenesis","negative regulation of angiogenesis"
"235","GO:0009615",80,243,1.1473792897234e-50,3.10817725888475e-49,"response to virus","response to virus"
"236","GO:0000922",110,364,3.44397037542447e-50,9.2899641567594e-49,"spindle pole","spindle pole"
"237","GO:0030667",64,186,3.75622126247138e-50,1.00894955936256e-48,"secretory granule membrane","secretory granule membrane"
"238","GO:0043130",70,206,5.29767449722478e-50,1.41701663232491e-48,"ubiquitin binding","ubiquitin binding"
"239","GO:0007399",291,1576,9.28290028651264e-50,2.47259176669203e-48,"nervous system development","nervous system development"
"240","GO:0023026",19,59,1.5091512153881e-49,4.00302359881694e-48,"MHC class II protein complex binding","MHC class II protein complex binding"
"241","GO:0050731",61,175,2.02190904332617e-49,5.34086015344996e-48,"positive regulation of peptidyl-tyrosine phosphorylation","positive regulation of peptidyl-tyrosine phosphorylation"
"242","GO:0002503",10,36,2.18298933213221e-49,5.7425248298982e-48,"peptide antigen assembly with MHC class II protein complex","peptide antigen assembly with MHC class II protein complex"
"243","GO:0006457",117,393,3.51489369768513e-49,9.20815361294794e-48,"protein folding","protein folding"
"244","GO:0005911",149,552,6.23973388080284e-49,1.6279567985734e-47,"cell-cell junction","cell-cell junction"
"245","GO:0015629",220,998,6.65639807064721e-49,1.7295767394996e-47,"actin cytoskeleton","actin cytoskeleton"
"246","GO:0042130",36,101,8.12009397899979e-49,2.10132188090702e-47,"negative regulation of T cell proliferation","negative regulation of T cell proliferation"
"247","GO:0006270",25,73,8.29178421677452e-49,2.13706470947314e-47,"DNA replication initiation","DNA replication initiation"
